Row Labels,Number of instructors,Sum of Number of schools,No delivery due to covid,Sum of Levels 1 and 2 places attended (2020/21),Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020/21),Sum of % schools that booked Bikeability2,Sum of % schools that booked Bikeability,Sum of Level 3 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19)
CM22,0,9,,31,196,0,0,44,44,0,0,132
CM23,1,22,,37,369,0,0,32,32,27,0,259
CM24,0,4,Yes,0,54,0,0,50,50,0,0,0
CM3,4,28,,260,564,0,0,46,46,0,0,350
CM4,0,6,,16,117,0,0,17,17,0,0,75
CM5,1,6,Yes,0,39,0,0,50,50,0,0,11
CM6,0,11,,139,247,0,30,55,55,0,5,133
CM7,2,18,,99,202,0,0,39,39,27,0,141
CM77,2,5,,88,89,0,0,40,40,0,0,75
CM8,0,14,,59,102,0,0,43,43,0,20,91
CM9,2,12,,76,230,0,0,33,33,0,0,215
CO1,2,4,,60,110,0,0,100,100,0,0,65
CO10,1,24,,28,115,0,0,25,25,0,0,212
CO11,1,7,,70,49,0,0,43,43,0,0,77
CO12,1,9,,11,66,0,0,44,44,0,0,43
CO13,1,5,Yes,0,66,0,0,40,40,0,0,54
CO14,0,2,,32,50,0,0,100,100,0,0,41
CO15,3,12,,96,12,0,0,25,25,15,59,12
CO16,1,9,,9,120,0,0,44,44,0,0,75
CO2,2,17,Yes,0,147,0,0,29,29,0,0,96
CO3,1,22,,107,327,0,0,32,32,5,30,259
CO4,3,21,,29,298,0,0,29,29,10,0,376
CO5,3,12,,71,144,0,0,25,25,0,27,177
CO6,1,17,,62,411,0,0,41,41,0,0,170
CO7,0,15,,58,241,0,0,20,20,4,4,168
CO8,0,1,Yes,0,27,0,0,100,100,0,0,0
CO9,0,17,,21,86,0,0,29,29,0,0,130
CR0,4,58,,0,0,0,0,0,0,0,0,0
CR2,0,20,,0,0,0,0,0,0,0,0,0
CR3,2,18,,13,146,0,0,17,17,0,0,128
CR4,3,24,,0,0,0,0,0,0,0,0,0
CR5,0,9,,0,0,0,0,0,0,0,0,0
CR6,0,4,,0,22,0,0,0,0,0,0,0
CR7,0,18,,0,0,0,0,0,0,0,0,0
CR8,0,15,,0,0,0,0,0,0,0,0,0
CT1,2,13,,50,53,0,0,15,15,36,0,0
CT10,1,6,,0,0,0,0,0,0,0,0,0
CT11,1,15,,40,125,0,0,13,13,0,0,87
CT12,1,11,,45,100,0,0,18,18,0,0,115
CT13,0,10,,0,36,0,0,0,0,0,0,49
CT14,1,6,,36,71,0,0,17,17,0,0,35
CT15,0,15,,72,29,0,0,13,13,0,0,9
CT16,2,11,,72,59,0,0,27,27,0,0,0
CT17,0,12,,216,39,0,0,25,25,0,0,0
CT18,0,10,,0,43,0,0,0,0,0,0,0
CT19,3,4,,31,32,0,0,25,25,0,0,112
CT2,2,16,,0,69,20,0,6,6,0,0,0
CT20,0,13,,24,131,0,0,8,8,0,0,0
CT21,1,7,,27,66,0,0,14,14,0,0,0
CT3,1,7,,0,115,0,0,0,0,0,0,126
CT4,1,13,,205,178,0,0,62,62,0,0,44
CT5,3,10,,97,187,0,0,30,30,0,0,47
CT6,0,8,,104,220,0,0,25,25,27,0,0
CT7,0,9,,127,182,0,0,33,33,0,0,0
CT8,0,4,,0,45,0,0,0,0,0,0,40
CT9,0,4,,34,52,0,0,25,25,0,0,61
CV1,0,14,,0,62,0,0,0,0,6,0,46
CV10,2,15,,25,146,0,0,7,7,0,0,79
CV11,1,15,Yes,0,204,0,0,13,13,28,21,0
CV12,1,12,Yes,0,16,0,0,8,8,0,0,0
CV13,1,23,,113,433,0,0,17,17,0,0,10
CV2,1,10,,0,24,0,0,0,0,0,0,11
CV21,1,26,,0,113,0,0,0,0,0,0,156
CV22,2,13,,138,146,0,0,31,31,0,0,24
CV23,2,24,,74,139,0,0,13,13,0,0,0
