Row Labels,Count of No delivery due to covid,Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19),Sum of L3 places attended - 2019/20,Sum of Number of schools,Sum of Level 3 Places Attended (2020/21),Sum of % schools that booked Bikeability,Sum of Plus Places Attended (2020/21),Sum of Levels 1 and 2 places attended (2020/21)
BH25,,103,0,208,42,8,9,25,0,50
BH3,,25,0,0,0,1,0,100,0,30
BH31,,0,0,0,0,4,0,0,0,0
BH4,,0,0,0,0,1,0,0,0,0
BH6,,0,0,49,0,4,0,25,0,12
BH7,,41,0,0,0,4,0,0,0,0
BH8,,0,0,0,0,9,0,0,0,0
BH9,,140,0,109,0,7,0,43,0,38
BL0,,234,0,291,0,10,0,30,0,35
BL1,,413,0,464,6,32,14,44,104,282
BL2,,319,0,233,8,20,0,20,0,23
BL3,,325,0,307,6,38,2,26,60,142
BL4,,265,22,288,0,21,4,33,66,110
BL5,,287,19,222,7,11,0,36,8,0
BL6,,298,0,151,6,14,0,29,0,89
BL7,,179,0,196,0,9,12,22,39,52
BL8,,309,0,120,0,20,0,45,0,151
BL9,,199,0,174,0,28,0,39,0,71
BN1,,434,0,418,0,29,0,28,28,100
BN10,,119,0,82,3,4,0,50,0,86
BN11,,68,0,64,0,10,0,10,0,60
BN12,,22,0,84,0,8,0,38,0,115
BN13,,0,0,0,0,8,0,13,0,3
BN14,,56,0,88,0,12,0,25,0,138
BN15,,0,22,0,0,9,0,11,0,60
BN16,,42,0,0,0,8,0,13,0,60
BN17,,46,0,126,0,7,0,29,0,122
BN18,,0,0,0,0,9,0,33,0,68
BN2,,430,0,158,0,27,0,30,30,0
BN20,,134,10,0,2,10,0,10,144,0
BN21,,47,0,0,0,4,0,25,0,46
BN22,,116,0,142,0,13,0,8,16,29
BN23,,134,0,56,1,9,0,44,0,26
BN24,,74,11,78,6,3,0,67,0,12
BN26,,21,0,9,0,2,0,0,0,0
BN27,,118,0,133,0,11,0,36,0,48
BN41,,217,0,157,24,9,0,56,48,65
BN42,,49,0,38,0,2,0,0,0,0
BN43,,34,0,51,0,9,0,0,0,0
BN44,,0,0,0,0,4,0,0,0,0
BN5,,0,0,0,0,1,0,100,0,31
BN6,,110,0,153,0,8,0,25,0,53
BN7,,221,7,289,9,11,0,73,0,50
BN8,,185,0,141,0,12,0,67,0,151
BN9,,29,4,67,7,6,0,33,12,48
BR1,,0,0,0,0,23,0,0,0,0
BR2,,0,0,0,0,18,0,0,0,0
BR3,,0,0,0,0,19,0,0,0,0
BR4,,0,0,0,0,8,0,0,0,0
BR5,,0,0,0,0,16,0,0,0,0
BR6,,0,0,0,0,19,0,0,0,0
BR7,,0,0,0,0,11,0,0,0,0
BR8,,73,0,63,0,11,0,18,0,36
BS1,,12,0,0,0,5,0,20,0,12
BS11,,83,23,173,0,11,0,36,0,78
BS13,,104,0,65,0,13,0,23,0,86
BS14,,85,0,87,0,11,0,0,0,0
BS15,,383,159,333,143,16,54,25,0,0
BS16,,667,0,549,15,34,0,29,25,86
BS2,,24,0,20,0,9,0,11,0,12
BS20,,391,70,240,0,10,12,50,0,214
BS21,,98,7,41,0,7,0,29,0,124
BS22,,83,101,89,0,13,36,46,0,181
BS23,,40,21,77,24,11,0,36,0,76
BS24,,35,0,108,0,11,0,36,0,125
BS25,,43,9,79,0,5,42,20,0,0
BS26,,0,0,0,0,2,0,0,0,0
BS27,,0,0,0,0,4,0,0,0,0
BS28,,0,0,0,0,2,0,50,0,3
BS29,,19,0,0,0,1,0,0,0,0
BS30,,248,0,365,0,13,73,54,25,54
BS31,,29,0,0,0,11,0,9,0,24
BS32,,144,0,148,0,12,0,58,25,114
BS34,,162,33,329,44,12,0,25,0,48
BS35,,206,16,326,0,16,0,44,25,110
BS36,,288,0,306,0,6,0,83,0,31
BS37,,306,0,170,0,20,41,20,0,33
BS39,,88,0,133,0,9,0,11,0,49
