Node,"Conservative Prediction",Lab_pred,Lib_pred,SNP_pred,Plaid_pred,Green_pred,RefUK_pred,Other_pred,Winner_pred,Con_2019,Lab_2019,Lib_2019,SNP_2019,Plaid_2019,Green_2019,Brexit_2019,Other_2019,Winner_2019
"Calder Valley",31,44.4,12,0,0,5.6,4.2,3,Lab,51.9,41.9,5,0,0,0,0,1.2,Con
Aberconwy,26.8,46.3,7.5,0,8,5.2,6.3,0.7,Lab,46.1,39.7,5.7,0,8.5,0,0,0,Con
"South Swindon",31.9,41.3,14.8,0,0,5.1,4.8,2.2,Lab,52.3,39.2,8.5,0,0,0,0,0,Con
"Suffolk Coastal",35.6,28.9,16,0,0,8.2,6.4,5.1,Con,56.5,21.3,15,0,0,4.7,0,2.6,Con
"Wolverhampton South East",26.8,41.9,11.8,0,0,7,8.1,4.6,Lab,42.7,46.4,3,0,0,1.6,6.3,0,Lab
"Romsey and Southampton North",33.7,24.6,26.9,0,0,4.9,5.7,4.4,Con,54.2,11.5,33.1,0,0,0,0,1.2,Con
"St Helens North",17.2,52.9,7.7,0,0,6.4,11.7,4.2,Lab,26.6,52.3,5.6,0,0,4.1,11.3,0,Lab
Wakefield,30.3,43.5,10,0,0,5.9,6.7,3.7,Lab,47.3,39.8,3.9,0,0,0,6.1,2.9,Con
"Aberdeen South",25.3,18.4,10.3,40,0,2,2.8,2,SNP,35.9,8.4,11,44.7,0,0,0,0,SNP
"Middlesbrough South and East Cleveland",34.1,44.7,8,0,0,3.7,6.3,3.4,Lab,58.8,34.5,4.1,0,0,2.6,0,0,Con
"Plymouth, Moor View",36,35.5,14.1,0,0,5.8,6.6,2.2,Con,60.7,31.5,5.2,0,0,2.7,0,0,Con
"Cardiff Central",11.2,58.1,11.2,0,4,8.9,6.2,1.1,Lab,20.1,61.2,15.1,0,0,0,2.4,1.2,Lab
"South West Wiltshire",37.1,28.1,20.3,0,0,6.9,5.4,2.2,Con,60.2,20.8,14.6,0,0,4.4,0,0,Con
Dartford,37.7,33.4,10.8,0,0,6.3,7.8,4.2,Con,62.9,27.5,6.9,0,0,2.7,0,0,Con
"North Ayrshire and Arran",21.9,16,7.8,45,0,4.7,3.4,1.9,SNP,30.8,13.9,4.4,48.5,0,2.3,0,0,SNP
Stourbridge,36.5,32.2,12.5,0,0,6.5,6.9,5.6,Con,60.3,30.6,5.5,0,0,2.3,0,1.4,Con
"Rutherglen and Hamilton West",12.8,31.3,5.8,44,0,2,2.3,2.2,SNP,15,34.5,5.2,44.2,0,0,0,1.2,SNP
"Banff and Buchan",37.4,9.9,7.7,39,0,1.5,3.5,1.9,SNP,50.1,4.1,5.4,40.4,0,0,0,0,Con
Bridgend,24.6,44.9,7.7,0,6,7,9.7,0.7,Lab,43.1,40.3,5.6,0,4.8,1.9,4.3,0,Con
"Old Bexley and Sidcup",38.9,27,11.2,0,0,8.1,9.8,5.2,Con,64.5,23.5,8.3,0,0,3.2,0,0.5,Con
Witney,34.5,26.2,25.4,0,0,4.6,6,3.4,Con,55.2,14.3,30.5,0,0,0,0,0,Con
"Nottingham North",21.5,48.2,11.8,0,0,7.8,8.8,2.1,Lab,36.4,49.1,4.5,0,0,2.5,7.6,0,Lab
