Node,"No delivery due to covid","L1 and L2 places attended - 2019/20","No. of Instructors","Level 3 Places Attended (2018/19)","Levels 1 and 2 Places Attended (2018/19)","L3 places attended - 2019/20","Number of schools","Level 3 Places Attended (2020/21)","% schools that booked Bikeability","Plus Places Attended (2020/21)","Levels 1 and 2 places attended (2020/21)"
BL9,,166,1,0,174,0,14,0,29,0,78
BN1,,446,3,0,417,0,17,0,47,0,219
BN2,,304,0,0,158,60,15,0,20,186,62
BN3,,514,9,137,621,36,21,23,52,0,204
BN5,,0,0,0,0,0,1,0,100,0,31
BN6,,109,3,0,153,0,5,0,40,0,134
BN7,YES,331,2,0,289,0,9,0,56,0,0
BN8,,166,1,0,141,0,24,0,25,0,150
BN9,,93,1,0,67,0,6,0,67,0,42
BN10,YES,57,0,0,82,0,7,0,14,0,0
BN11,,67,3,0,64,0,9,0,33,0,24
BN12,,99,2,18,83,17,25,0,4,0,7
BN13,,0,2,0,0,0,8,0,13,0,3
BN14,,83,2,88,87,63,14,24,29,10,88
BN15,,0,2,22,0,0,9,0,11,0,60
BN16,,42,0,0,0,0,8,0,13,0,60
BN17,,110,6,69,125,25,12,24,25,0,33
BN18,,0,1,0,0,0,9,0,33,0,68
BN20,,134,2,10,0,2,10,0,10,144,0
BN21,,47,2,0,0,0,4,0,25,0,46
BN22,,127,1,10,141,0,9,0,22,0,58
BN23,,106,0,0,56,0,5,0,0,0,0
BN24,,131,0,0,78,0,13,0,31,0,65
BN25,,164,0,0,56,0,8,0,0,0,0
BN26,,21,0,0,9,0,2,0,0,0,0
BN27,,88,0,0,133,0,9,0,11,0,49
BN41,YES,172,4,0,156,0,6,0,50,0,0
BN42,,41,1,0,38,14,7,0,0,0,0
BN43,YES,8,0,0,51,12,3,0,33,0,0
BN44,,0,3,0,0,0,4,0,0,0,0
BR1,,0,7,0,0,0,23,0,0,0,0
BR2,,0,4,0,0,0,18,0,0,0,0
BR3,,0,6,0,0,0,19,0,0,0,0
BR4,,0,0,0,0,0,8,0,0,0,0
BR5,,0,2,0,0,0,16,0,0,0,0
BR6,,0,4,0,0,0,19,0,0,0,0
BR7,,0,0,0,0,0,11,0,0,0,0
BR8,,50,0,0,63,0,10,0,30,0,96
BS1,,12,0,0,0,0,5,0,20,0,12
BS2,,24,2,0,20,0,9,0,11,0,12
BS3,,373,0,0,205,0,18,0,39,0,122
BS4,,411,1,0,170,0,17,0,41,0,62
BS5,,102,1,0,101,0,14,0,29,0,44
BS6,,273,1,0,212,0,10,0,40,0,81
BS7,,241,1,0,368,0,14,0,0,0,0
BS8,,134,1,0,56,1,9,0,44,0,26
BS9,,256,2,0,220,0,18,0,17,0,26
BS10,YES,66,1,0,9,0,11,0,9,0,0
BS11,,160,0,0,173,5,15,0,40,0,174
BS13,YES,87,1,0,65,0,19,0,5,0,0
BS14,,85,0,24,86,0,5,0,20,0,90
BS15,,336,5,0,333,19,23,0,35,0,66
BS16,,416,6,4,543,0,13,0,0,0,0
BS20,,334,2,0,240,0,22,0,14,0,74
BS21,,50,0,0,41,0,2,0,100,0,32
